"Statistic","Nace.Rev.2.Activity","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Wages and Salaries - Labour only subcontractors","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Total","Development of building projects (411)",159545,132153,70836,53924,43848,51313,62503,41457,83166,115048,131153,182351
"Wages and Salaries - Total","Construction of residential and non-residential buildings (412)",2025932,1385667,853547,600327,479868,494748,631743,572298,1023051,1364556,1548722,1721650
"Wages and Salaries - Total","Construction of roads and railways (421)",224050,145728,107032,85699,87330,44394,91269,115057,123543,139335,194676,221302
"Wages and Salaries - Total","Construction of utility projects (422)",95966,77532,69619,61604,58663,35473,74220,97234,111506,123004,125291,112913
"Wages and Salaries - Total","Construction of other civil engineering projects (429)",153793,151554,88741,78975,70966,34368,68904,101411,113031,123834,119364,155601
"Wages and Salaries - Total","Demolition and site preparation (431)",93288,71879,45500,30346,27514,26278,40779,47008,56282,66570,80569,80837
"Wages and Salaries - Total","Electrical, plumbing and other construction installation activities (432)",1222075,1040976,796796,605994,577751,610282,998975,1103419,1074716,1438791,1562850,1951041
"Wages and Salaries - Total","Building completion and finishing (433)",1363489,993166,718242,531921,519139,511827,780854,846237,850038,1154217,1166075,1096325
"Wages and Salaries - Total","Other specialised construction activities (439)",910116,632952,411631,287765,269719,286880,454350,506652,537727,731221,787607,805776
"Wages and Salaries - Total","Construction (41 to 43)",6248254,4631607,3161945,2336554,2134799,2095563,3203597,3430773,3973059,5256576,5716307,6327796
"Labour Costs - Other","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,6424,14222,18314,19350,29759
"Labour Costs - Other","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,89396,181226,221195,243802,273177
"Labour Costs - Other","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,13124,17099,21508,23826,32758
"Labour Costs - Other","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,10939,16629,18483,17761,14872
"Labour Costs - Other","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,12538,15387,19605,15118,19442
"Labour Costs - Other","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,5937,7186,8447,10538,8566
"Labour Costs - Other","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,123402,128546,180366,194025,258061
"Labour Costs - Other","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,95078,98858,143711,146175,183302
"Labour Costs - Other","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,57180,63400,93412,99244,104754
"Labour Costs - Other","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,414018,542554,725040,769838,924690
"Labour Costs - Total","Development of building projects (411)",192235,162647,87836,64145,51850,60599,72276,47881,97388,133361,150502,212110
"Labour Costs - Total","Construction of residential and non-residential buildings (412)",2441038,1705406,1058394,714119,567449,584277,730524,661695,1204277,1585751,1792523,1994828
"Labour Costs - Total","Construction of roads and railways (421)",265609,174448,127223,95186,100636,75679,105406,128182,140642,160843,218502,254060
"Labour Costs - Total","Construction of utility projects (422)",113767,92812,82753,68424,67601,60472,85717,108172,128135,141487,143051,127785
"Labour Costs - Total","Construction of other civil engineering projects (429)",182320,181422,105482,87717,81777,58587,79577,113949,128417,143439,134482,175042
"Labour Costs - Total","Demolition and site preparation (431)",108865,82619,53136,35828,31614,30415,44629,52945,63468,75017,91107,89403
"Labour Costs - Total","Electrical, plumbing and other construction installation activities (432)",1426132,1196523,930515,715467,663846,706344,1093281,1226821,1203262,1619157,1756875,2209101
"Labour Costs - Total","Building completion and finishing (433)",1591159,1141570,838778,628012,596500,592391,854569,941315,948896,1297928,1312250,1279627
"Labour Costs - Total","Other specialised construction activities (439)",1062083,727531,480712,339750,309912,332037,497242,563832,601128,824633,886851,910530
"Labour Costs - Total","Construction (41 to 43)",7383211,5464978,3764831,2748647,2471185,2500802,3563222,3844791,4515613,5981616,6486145,7252486
"Turnover - Principal","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Principal","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Subcontractor","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Manufacturing","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Factored goods","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Other","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover - Total","Development of building projects (411)",6175686,3452457,2713142,3452607,868556,1539755,1913816,1853618,1916548,3055985,3538944,3088442
"Turnover - Total","Construction of residential and non-residential buildings (412)",15449821,7964626,5810152,4488019,2130950,2490835,4281061,4387261,7291119,9009510,11603965,11967714
"Turnover - Total","Construction of roads and railways (421)",1302077,1146125,598787,495979,559818,411893,452166,412185,591599,744444,963712,1063883
"Turnover - Total","Construction of utility projects (422)",479861,588431,284644,285675,244850,227018,310999,243883,378767,514568,577655,548693
"Turnover - Total","Construction of other civil engineering projects (429)",1293242,1084546,535798,471116,380894,294116,414255,366540,575797,656825,575170,679207
"Turnover - Total","Demolition and site preparation (431)",436163,326747,734209,328384,143387,156139,206462,157234,296553,318703,347042,452122
"Turnover - Total","Electrical, plumbing and other construction installation activities (432)",4249550,3917471,2903785,2413289,2056164,2132397,3090986,3372981,3700058,4663307,5091111,7769122
"Turnover - Total","Building completion and finishing (433)",4633855,3315685,2572969,2105819,1498217,1730715,2213083,2677401,2823677,3503075,3651689,4723443
"Turnover - Total","Other specialised construction activities (439)",4070359,2274150,1559412,1536559,914569,1013814,1325380,1473617,1854075,2402241,2803627,3408003
"Turnover - Total","Construction (41 to 43)",38090615,24070238,17712899,15577448,8797406,9996682,14208208,14944720,19428195,24868658,29152915,33700629
"Payments to other subcontractors","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Payments to other subcontractors","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
