"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Galway","Construction (F)",35628,34720,34199,36340,36008,37139,37326,38762,41055,46090,46757,44996,47696,50731
"Mean Annual Earnings","Co. Galway","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26869,27673,27973,28720,31015,31581,32186,33414,35032,37920,39304,40353,41824,43240
"Mean Annual Earnings","Co. Galway","Transportation and storage (H)",34862,33931,33165,33743,34100,34915,34570,35891,37403,39586,40032,40894,41200,43989
"Mean Annual Earnings","Co. Galway","Accommodation and food service activities (I)",20498,20094,20107,20227,20757,21223,22085,22511,23288,28697,28036,27676,27608,28616
"Mean Annual Earnings","Co. Galway","Information and communication (J)",48745,49037,51425,53641,54861,56625,56447,57427,60945,63319,67319,71043,77009,83578
"Mean Annual Earnings","Co. Galway","Professional, scientific and technical activities (M)",42341,42799,43771,44110,45949,46758,46755,47825,49990,52673,54900,56561,59137,65103
"Mean Annual Earnings","Co. Galway","Administrative and support service activities (N)",26260,27174,27021,27956,30051,29479,32727,32814,33968,36031,38055,39098,41747,44745
"Mean Annual Earnings","Co. Galway","Public administration and defence; compulsory social security (O)",43783,43723,43494,45702,45927,45149,46273,47822,48877,49964,51078,53536,56659,59056
"Mean Annual Earnings","Co. Galway","Education (P)",50304,50367,50012,48747,49419,48874,50521,51525,52460,54096,54405,57702,59638,61936
"Mean Annual Earnings","Co. Galway","Human health and social work activities (Q)",39173,38817,37641,37356,37984,37985,38404,39285,41022,44302,43782,46073,49350,52137
"Mean Annual Earnings","Co. Galway","Industry (B to E)",40041,40016,41424,41989,43136,43778,44865,47082,48305,49117,51314,53458,54069,56987
"Mean Annual Earnings","Co. Galway","Financial, insurance and real estate activities (K,L)",43620,44630,44297,44811,45065,43967,44261,46788,47487,49975,52277,53847,56484,59985
"Mean Annual Earnings","Co. Galway","Arts, entertainment, recreation and other service activities (R,S)",24317,24306,24039,24190,25555,24911,25294,26196,27946,35193,34426,30563,30785,32497
"Mean Annual Earnings","Co. Kildare","All NACE economic sectors",42084,41804,41896,42287,43302,44092,45372,46763,48542,52499,53924,55861,57652,60121
"Mean Annual Earnings","Co. Kildare","Construction (F)",41861,41117,40797,40764,40863,42066,42834,44195,46424,50657,52389,52102,54276,56935
"Mean Annual Earnings","Co. Kildare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",33092,32843,33040,33838,34651,35907,36810,38162,39609,41623,43165,44275,45672,47179
"Mean Annual Earnings","Co. Kildare","Transportation and storage (H)",41018,40925,40860,41006,41128,41624,42910,44298,46239,46670,47033,49643,50153,53120
