"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Median Annual Earnings","Co. Limerick","Construction (F)",34377,34613,35473,34890,35900,35394,35370,36188,38000,42128,42400,39874,41673,44617
"Median Annual Earnings","Co. Limerick","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22931,23004,22862,23250,23964,24687,24761,25412,25908,27849,28982,28893,30131,31423
"Median Annual Earnings","Co. Limerick","Transportation and storage (H)",34743,34693,33642,33917,34556,34384,33713,34752,35119,35763,36817,37014,38002,40321
"Median Annual Earnings","Co. Limerick","Accommodation and food service activities (I)",18304,17632,17480,17735,17862,18447,18892,19755,20910,24349,23368,23690,25025,26636
"Median Annual Earnings","Co. Limerick","Information and communication (J)",37500,37000,37950,38324,40064,39000,40008,41840,42786,44507,47711,52434,54434,58736
"Median Annual Earnings","Co. Limerick","Professional, scientific and technical activities (M)",32458,32683,31656,31745,33380,33463,34148,36060,38000,39840,42169,43882,46741,50140
"Median Annual Earnings","Co. Limerick","Administrative and support service activities (N)",23296,23566,23953,25414,25381,25684,26628,28242,29808,31039,31275,32419,35444,36795
"Median Annual Earnings","Co. Limerick","Public administration and defence; compulsory social security (O)",44259,44145,44800,45214,44830,44152,44386,44748,45466,46377,48559,51248,53226,55693
"Median Annual Earnings","Co. Limerick","Education (P)",47874,48487,48993,48362,48603,46708,48133,49004,49454,50818,50023,53327,54313,56249
"Median Annual Earnings","Co. Limerick","Human health and social work activities (Q)",32664,32478,32364,31589,31885,31203,32230,32962,34317,37022,37195,39356,41496,44053
"Median Annual Earnings","Co. Limerick","Industry (B to E)",41221,43451,44064,45108,44707,45601,47446,48746,48944,51053,53477,56391,58331,59644
"Median Annual Earnings","Co. Limerick","Financial, insurance and real estate activities (K,L)",36448,37299,36600,36911,36808,35708,36458,39080,39600,43142,43267,45715,46788,50432
"Median Annual Earnings","Co. Limerick","Arts, entertainment, recreation and other service activities (R,S)",18076,17725,18519,18189,18467,18814,19358,19823,20697,24000,23903,23303,24024,26368
"Median Annual Earnings","Co. Leitrim","All NACE economic sectors",31443,30834,31075,31429,31751,31013,31584,32536,33503,37956,37866,37704,39000,41162
"Median Annual Earnings","Co. Leitrim","Construction (F)",30996,29407,29993,28257,31330,29485,31735,32487,34984,40266,39920,38023,39099,41260
"Median Annual Earnings","Co. Leitrim","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",18668,18595,18663,19006,19375,20391,20456,20924,22137,23636,24490,25249,26812,28517
"Median Annual Earnings","Co. Leitrim","Transportation and storage (H)",33228,31073,30600,29248,31800,32115,31440,32690,33113,35043,34528,33975,37793,41805
"Median Annual Earnings","Co. Leitrim","Accommodation and food service activities (I)",17027,16608,15828,15584,17104,16459,17460,17642,18731,22854,21654,21589,21935,22691
"Median Annual Earnings","Co. Leitrim","Information and communication (J)",40117,39312,42106,44984,42464,39000,39375,43269,41551,43362,45431,52318,58795,62031
"Median Annual Earnings","Co. Leitrim","Professional, scientific and technical activities (M)",24333,25000,25320,28380,27767,26078,28521,29936,31352,32960,35402,36632,36960,41146
"Median Annual Earnings","Co. Leitrim","Administrative and support service activities (N)",21676,19812,22114,23160,23560,22742,24912,23956,26625,27350,27527,29116,29868,33424
"Median Annual Earnings","Co. Leitrim","Public administration and defence; compulsory social security (O)",41286,41851,41530,42248,41612,40702,42338,42819,44404,45611,46304,48425,51230,52571
"Median Annual Earnings","Co. Leitrim","Education (P)",48853,49666,50589,48682,50155,49226,51467,52097,52371,52541,52202,54200,56447,57183
"Median Annual Earnings","Co. Leitrim","Human health and social work activities (Q)",32739,32200,31975,31695,32854,32216,32618,33945,34692,37041,37494,38677,40840,43221
"Median Annual Earnings","Co. Leitrim","Industry (B to E)",32762,31999,32998,33248,33651,33214,32955,34262,34458,38321,38454,37469,38231,40225
"Median Annual Earnings","Co. Leitrim","Financial, insurance and real estate activities (K,L)",33531,33727,37160,36001,36653,35446,36144,36152,37287,37607,41101,43686,45576,50520
"Median Annual Earnings","Co. Leitrim","Arts, entertainment, recreation and other service activities (R,S)",17848,18074,17282,17778,17750,16800,16462,16425,16182,20154,21178,19731,19898,22778
"Median Annual Earnings","Co. Laois","All NACE economic sectors",33532,32982,33284,33424,33506,33255,33936,35084,36216,39544,40022,40294,41687,43230
"Median Annual Earnings","Co. Laois","Construction (F)",31852,30466,31978,33245,32561,33655,34088,35860,38556,39368,42389,41643,43120,45421
"Median Annual Earnings","Co. Laois","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22763,22323,22077,22766,23499,24354,25077,25782,26582,29047,30000,29519,30557,31428
"Median Annual Earnings","Co. Laois","Transportation and storage (H)",37548,37073,37203,36630,35108,35628,35765,36964,36976,39100,38933,40562,39851,42753
"Median Annual Earnings","Co. Laois","Accommodation and food service activities (I)",16784,16205,16601,16320,16867,17618,18047,18881,19679,25336,21315,22274,23210,23402
"Median Annual Earnings","Co. Laois","Information and communication (J)",45029,45316,47730,46751,46496,44460,45844,46395,47792,49419,55100,59153,65044,68821
"Median Annual Earnings","Co. Laois","Professional, scientific and technical activities (M)",29816,29639,28919,28910,30732,31000,31906,33908,35000,36986,39848,41265,43334,45524
"Median Annual Earnings","Co. Laois","Administrative and support service activities (N)",26072,25513,25626,25097,25502,26236,28160,30000,31513,32479,33066,35083,37355,38198
"Median Annual Earnings","Co. Laois","Public administration and defence; compulsory social security (O)",46146,46424,47215,47569,48452,47034,47960,48798,49550,50018,51477,54608,57102,59326
"Median Annual Earnings","Co. Laois","Education (P)",45982,46056,47566,45795,47242,45924,47114,47852,47161,48427,48389,49502,52112,52426
"Median Annual Earnings","Co. Laois","Human health and social work activities (Q)",35480,34992,34798,35147,34921,34136,34830,36117,37284,38728,38925,40548,41796,43923
"Median Annual Earnings","Co. Laois","Industry (B to E)",36731,36900,37430,37460,36555,37623,37682,38458,39442,42032,42922,42860,44836,47165
"Median Annual Earnings","Co. Laois","Financial, insurance and real estate activities (K,L)",34841,35233,35674,36910,37098,37446,37790,39447,39489,44243,44196,47806,48244,50681
"Median Annual Earnings","Co. Laois","Arts, entertainment, recreation and other service activities (R,S)",20031,19552,19886,18598,19277,18850,19318,19918,20654,28389,29138,25844,25796,28058
"Median Annual Earnings","Co. Meath","All NACE economic sectors",34996,34454,34722,34930,35042,35447,36039,37130,38465,41636,42635,43557,44902,46272
"Median Annual Earnings","Co. Meath","Construction (F)",34838,33797,33626,34963,33934,34998,35555,37081,39353,42625,44160,43610,45104,47434
"Median Annual Earnings","Co. Meath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",24777,24495,24909,25320,25868,26881,27452,28491,29358,31150,32407,32863,34122,35143
"Median Annual Earnings","Co. Meath","Transportation and storage (H)",39184,38409,38590,39044,38942,39219,38661,40362,41174,40520,42233,44652,45066,46332
"Median Annual Earnings","Co. Meath","Accommodation and food service activities (I)",18106,17697,18044,17806,18282,18555,18797,19306,20308,25427,24234,23704,23954,25220
"Median Annual Earnings","Co. Meath","Information and communication (J)",51600,51961,52888,53742,56158,56349,58104,59651,61135,64749,68848,72843,75940,79286
"Median Annual Earnings","Co. Meath","Professional, scientific and technical activities (M)",34420,33732,34502,34768,35055,37475,37330,38749,40665,41072,44010,46322,49397,50411
"Median Annual Earnings","Co. Meath","Administrative and support service activities (N)",27173,27000,27434,27749,28354,29028,29904,30970,32911,34324,36117,38922,40518,41711
"Median Annual Earnings","Co. Meath","Public administration and defence; compulsory social security (O)",46821,46816,47989,48090,47934,47792,48694,48985,50208,50774,52260,55565,58211,59875
"Median Annual Earnings","Co. Meath","Education (P)",46501,46553,47566,46407,47164,45655,47179,48022,48287,48503,48491,52023,52726,54413
"Median Annual Earnings","Co. Meath","Human health and social work activities (Q)",34490,33769,34335,34000,34202,33662,34601,35511,36345,38693,39097,41270,43778,45436
"Median Annual Earnings","Co. Meath","Industry (B to E)",39382,38999,39520,39526,39130,40319,41176,42654,44527,48199,49209,49944,50325,50340
"Median Annual Earnings","Co. Meath","Financial, insurance and real estate activities (K,L)",40680,40989,41606,42021,42467,44066,45332,46563,49195,50273,52970,55746,57168,59941
"Median Annual Earnings","Co. Meath","Arts, entertainment, recreation and other service activities (R,S)",22733,21648,21995,21546,21691,21412,22051,22294,23544,30230,30331,27066,27292,29676
"Median Annual Earnings","Co. Monaghan","All NACE economic sectors",27674,27735,27478,27780,28080,28259,29115,29953,31162,33800,35171,34707,35894,37867
"Median Annual Earnings","Co. Monaghan","Construction (F)",28463,26615,28127,29621,29835,30247,31544,32402,34069,38094,38331,36999,38780,39300
"Median Annual Earnings","Co. Monaghan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",19584,19493,19308,19935,20112,21363,21720,22649,23644,25482,26700,26520,27624,28734
"Median Annual Earnings","Co. Monaghan","Transportation and storage (H)",25482,25549,25077,25940,27033,28175,28510,28112,30289,30992,32478,33305,35044,36794
"Median Annual Earnings","Co. Monaghan","Accommodation and food service activities (I)",15962,16068,15850,15870,16182,16414,17062,16983,17706,22452,21273,20647,21396,22646
"Median Annual Earnings","Co. Monaghan","Information and communication (J)",39908,40560,41830,36996,37411,39307,40691,40085,44695,43305,49054,53574,55993,62518
"Median Annual Earnings","Co. Monaghan","Professional, scientific and technical activities (M)",26357,27075,27000,27605,29320,28019,29757,31250,30705,31785,36220,36611,36465,40345
"Median Annual Earnings","Co. Monaghan","Administrative and support service activities (N)",20860,23221,24062,21412,21943,21688,23155,23766,25052,25692,28109,27878,29733,33070
"Median Annual Earnings","Co. Monaghan","Public administration and defence; compulsory social security (O)",43362,42822,42998,43316,42888,42742,43470,44172,46185,46624,48998,50316,53419,53870
"Median Annual Earnings","Co. Monaghan","Education (P)",49006,49309,48993,48194,48603,47776,48562,49210,48377,49721,50606,53281,55149,57193
"Median Annual Earnings","Co. Monaghan","Human health and social work activities (Q)",32217,31351,32253,31096,31590,31470,32021,32233,34642,35515,35598,36875,37734,39918
"Median Annual Earnings","Co. Monaghan","Industry (B to E)",26647,26870,26809,26922,27343,28134,28608,29758,30902,31144,33513,33800,35014,37152
"Median Annual Earnings","Co. Monaghan","Financial, insurance and real estate activities (K,L)",35630,35326,35124,35283,32103,32357,33020,34427,35159,38179,41981,43420,42517,46893
"Median Annual Earnings","Co. Monaghan","Arts, entertainment, recreation and other service activities (R,S)",18589,16791,17699,17152,17322,16455,16906,16262,16841,19091,19857,19162,21189,23093
"Median Annual Earnings","Co. Mayo","All NACE economic sectors",30000,29999,30081,30600,30844,30683,31134,32280,33707,37625,38051,37748,38625,40657
"Median Annual Earnings","Co. Mayo","Construction (F)",33114,31885,33718,33843,32450,31412,32741,33807,36881,39090,40786,39203,40000,42500
"Median Annual Earnings","Co. Mayo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20670,20374,20276,20800,21345,22160,22575,23092,23879,25633,26754,27004,28040,29376
"Median Annual Earnings","Co. Mayo","Transportation and storage (H)",35663,34560,33665,33375,33372,32442,32396,33928,35389,39432,41356,38311,37803,39912
"Median Annual Earnings","Co. Mayo","Accommodation and food service activities (I)",17462,17287,16776,17056,17811,17771,18200,18549,19890,23895,23730,23410,23446,24839
"Median Annual Earnings","Co. Mayo","Information and communication (J)",39272,38771,42206,43220,42174,44699,44004,42718,46540,46048,48405,53697,56087,59402
"Median Annual Earnings","Co. Mayo","Professional, scientific and technical activities (M)",28838,28627,28886,29840,31131,31356,33283,32002,33586,36475,38601,40000,40738,43444
"Median Annual Earnings","Co. Mayo","Administrative and support service activities (N)",22912,24127,26184,26000,25651,24064,24980,26453,29060,30632,32357,32345,33491,35911
"Median Annual Earnings","Co. Mayo","Public administration and defence; compulsory social security (O)",39273,39134,39472,42044,41155,41258,41924,42828,43151,44601,45792,47735,50220,52291
"Median Annual Earnings","Co. Mayo","Education (P)",49743,49916,50455,48590,49992,49484,51214,51930,52316,53082,52753,55345,60040,58895
"Median Annual Earnings","Co. Mayo","Human health and social work activities (Q)",31594,31555,31449,31200,31801,31936,32653,33619,34702,35956,36053,38148,40177,42444
"Median Annual Earnings","Co. Mayo","Industry (B to E)",32686,33625,34368,35650,35829,36498,36151,38399,39501,42643,42810,43923,44595,46629
"Median Annual Earnings","Co. Mayo","Financial, insurance and real estate activities (K,L)",35510,34961,35217,34954,33848,32090,32660,32898,34617,36198,39727,41038,41920,44561
"Median Annual Earnings","Co. Mayo","Arts, entertainment, recreation and other service activities (R,S)",17864,17542,17039,17542,17542,17726,17784,18950,19041,22677,22936,22082,23131,25392
"Median Annual Earnings","Co. Offaly","All NACE economic sectors",31370,31188,31315,31542,31688,31555,32040,33039,34143,37664,38155,38234,40000,41464
"Median Annual Earnings","Co. Offaly","Construction (F)",32034,32219,34013,34313,33222,33662,34718,35160,36488,39744,41494,40656,42385,43442
"Median Annual Earnings","Co. Offaly","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20869,20949,20994,21433,22178,23520,23648,25000,25484,27679,28462,28427,29749,30990
"Median Annual Earnings","Co. Offaly","Transportation and storage (H)",33793,33598,34160,33450,32740,32455,33021,34400,35049,37743,36788,37507,39160,40840
"Median Annual Earnings","Co. Offaly","Accommodation and food service activities (I)",16364,15600,15192,15480,15724,16317,16948,17254,17985,21807,21263,21345,21440,22858
"Median Annual Earnings","Co. Offaly","Information and communication (J)",43914,42544,46016,47962,48149,48513,48345,47161,47295,50886,54275,57776,59668,64376
"Median Annual Earnings","Co. Offaly","Professional, scientific and technical activities (M)",27482,27952,28080,28471,30000,30243,31264,31500,33355,35498,37510,38933,42918,44980
"Median Annual Earnings","Co. Offaly","Administrative and support service activities (N)",24585,24893,25665,26056,26462,26306,27200,28529,28779,30367,31705,32678,33574,36278
"Median Annual Earnings","Co. Offaly","Public administration and defence; compulsory social security (O)",42178,42332,42325,42617,41754,41478,42427,43580,44850,46345,47396,50080,53226,54818
"Median Annual Earnings","Co. Offaly","Education (P)",47577,46553,47238,45660,47685,45755,46281,45936,45686,47756,46658,50122,52150,52133
"Median Annual Earnings","Co. Offaly","Human health and social work activities (Q)",34535,34215,34253,34568,34743,33908,34539,35276,35598,38213,38732,40268,42692,44419
"Median Annual Earnings","Co. Offaly","Industry (B to E)",32213,31834,32594,32585,32618,33015,32940,33993,34720,36444,37951,38004,39510,41037
"Median Annual Earnings","Co. Offaly","Financial, insurance and real estate activities (K,L)",35865,36134,37249,36788,35627,32502,36301,37900,39664,41686,43799,45225,47702,50211
"Median Annual Earnings","Co. Offaly","Arts, entertainment, recreation and other service activities (R,S)",18200,18200,17256,18195,17259,17300,19340,19264,21508,27636,26260,23936,25882,27169
"Median Annual Earnings","Co. Roscommon","All NACE economic sectors",31769,31326,31499,31879,32161,31999,32530,33575,34588,38352,38948,39048,40034,42150
"Median Annual Earnings","Co. Roscommon","Construction (F)",28673,27968,30370,30750,30187,31222,32818,33923,35616,39775,39318,38481,39522,43180
"Median Annual Earnings","Co. Roscommon","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20497,19962,20101,20800,21524,21953,23262,24452,25009,26551,27658,27993,29350,30408
"Median Annual Earnings","Co. Roscommon","Transportation and storage (H)",35167,35226,33998,34250,35180,34143,34908,36008,37043,38067,38017,38468,39485,41695
"Median Annual Earnings","Co. Roscommon","Accommodation and food service activities (I)",16059,15846,15736,16207,16924,16988,16975,18151,18385,22002,22621,21835,21677,23724
"Median Annual Earnings","Co. Roscommon","Information and communication (J)",43339,41785,43333,45380,46818,48310,44386,42011,43977,46296,51499,53327,57454,64141
"Median Annual Earnings","Co. Roscommon","Professional, scientific and technical activities (M)",27897,27360,28860,28600,32150,33112,34120,30783,32320,35495,37951,38019,40000,43916
"Median Annual Earnings","Co. Roscommon","Administrative and support service activities (N)",20404,18855,19795,25576,26144,25444,26092,26139,27591,29678,29887,31127,33245,35291
"Median Annual Earnings","Co. Roscommon","Public administration and defence; compulsory social security (O)",42290,42317,43135,43314,43602,43764,43872,43682,46076,47984,49298,53378,54248,56245
"Median Annual Earnings","Co. Roscommon","Education (P)",48864,48987,49806,48979,49535,49190,50404,51162,52226,52980,50691,55249,57464,57102
"Median Annual Earnings","Co. Roscommon","Human health and social work activities (Q)",33483,32443,32064,31261,31390,30804,31634,32869,33854,35597,35632,38180,40159,43014
"Median Annual Earnings","Co. Roscommon","Industry (B to E)",32176,32994,33196,34046,33318,33620,33485,35567,36337,38937,40073,40585,41092,42176
"Median Annual Earnings","Co. Roscommon","Financial, insurance and real estate activities (K,L)",34249,34548,36022,35482,35274,35108,34714,36874,37535,38566,40218,43119,42654,46687
"Median Annual Earnings","Co. Roscommon","Arts, entertainment, recreation and other service activities (R,S)",18901,20246,18748,17992,19226,18397,19506,19615,21843,26783,28486,24480,26455,26056
"Median Annual Earnings","Co. Sligo","All NACE economic sectors",32112,32014,32358,32562,32974,32582,32865,33972,34790,39043,38856,39443,40557,42468
"Median Annual Earnings","Co. Sligo","Construction (F)",27809,28411,27746,28173,28156,30508,31804,31848,34376,38798,39561,36559,37492,39711
"Median Annual Earnings","Co. Sligo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20800,20556,20966,21338,22136,22265,22318,23059,23748,25970,26961,27040,27610,28886
"Median Annual Earnings","Co. Sligo","Transportation and storage (H)",34786,32634,33124,31843,32514,32674,31470,31946,34752,38776,35820,38580,39360,41930
"Median Annual Earnings","Co. Sligo","Accommodation and food service activities (I)",17542,16891,17116,17371,17937,18261,18612,18909,19647,24423,22625,23469,23408,25204
"Median Annual Earnings","Co. Sligo","Information and communication (J)",39552,38652,41090,39630,43463,42408,39509,40795,38977,41015,43365,46477,48795,51100
"Median Annual Earnings","Co. Sligo","Professional, scientific and technical activities (M)",25718,27000,26848,28228,28940,27258,29672,31790,34089,35992,40137,40000,42687,45000
"Median Annual Earnings","Co. Sligo","Administrative and support service activities (N)",20976,20579,23178,23371,22953,24878,27828,26142,27104,27193,27930,27808,28987,32961
"Median Annual Earnings","Co. Sligo","Public administration and defence; compulsory social security (O)",42388,42160,42566,42742,43442,43209,43318,43746,44376,45661,46455,49012,50840,53416
"Median Annual Earnings","Co. Sligo","Education (P)",49696,50994,51333,50291,51090,50641,51593,52221,53092,54290,53464,56472,58325,59313
"Median Annual Earnings","Co. Sligo","Human health and social work activities (Q)",35925,35830,35266,35404,36167,35749,36161,36694,37744,39249,39501,41909,45205,48180
"Median Annual Earnings","Co. Sligo","Industry (B to E)",33468,33097,34480,35928,36545,36701,37553,38990,40200,44087,43607,44533,45557,47684
"Median Annual Earnings","Co. Sligo","Financial, insurance and real estate activities (K,L)",37104,36200,36127,35727,35502,35612,33361,35542,36658,39414,39314,40047,42667,43276
"Median Annual Earnings","Co. Sligo","Arts, entertainment, recreation and other service activities (R,S)",17443,17135,17114,16000,15912,15277,15192,17404,17856,20565,19586,19355,17943,20273
"Median Annual Earnings","Co. Tipperary","All NACE economic sectors",31224,30993,31242,31466,31680,31340,31957,32861,33748,37620,37851,37960,39275,41338
"Median Annual Earnings","Co. Tipperary","Construction (F)",31416,31200,31404,32310,32115,33125,33076,33887,35395,39044,39056,38427,40283,42189
"Median Annual Earnings","Co. Tipperary","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",21315,20860,21111,21806,22223,22358,22705,23400,24354,26508,27514,27720,28868,30137
"Median Annual Earnings","Co. Tipperary","Transportation and storage (H)",29754,30851,30541,30643,30547,30659,31620,33065,34336,36166,36527,37413,37790,40762
"Median Annual Earnings","Co. Tipperary","Accommodation and food service activities (I)",16084,15593,15476,15206,15861,15950,16406,17049,17489,21137,20800,20885,21018,22313
"Median Annual Earnings","Co. Tipperary","Information and communication (J)",39154,38261,40064,38143,42119,42304,43202,42519,43269,38922,47848,53760,55967,60058
"Median Annual Earnings","Co. Tipperary","Professional, scientific and technical activities (M)",27099,30000,30584,31372,29728,29417,29992,31044,33411,35423,35913,38000,40474,42100
"Median Annual Earnings","Co. Tipperary","Administrative and support service activities (N)",22793,22727,23152,24447,25166,24841,24372,25279,28135,29298,30189,31411,32985,35941
"Median Annual Earnings","Co. Tipperary","Public administration and defence; compulsory social security (O)",41196,40878,42104,42708,41698,41778,42334,42691,43497,44504,46274,48308,50973,53507
"Median Annual Earnings","Co. Tipperary","Education (P)",47389,47570,48806,46978,47825,46756,48358,48464,48554,49176,49149,52057,53306,55404
"Median Annual Earnings","Co. Tipperary","Human health and social work activities (Q)",30591,30829,30898,30898,31400,30682,31424,32366,33355,35743,35845,37382,39268,41876
"Median Annual Earnings","Co. Tipperary","Industry (B to E)",36669,35500,35790,36515,36517,35700,36742,37262,37661,41788,42073,41553,42930,45026
"Median Annual Earnings","Co. Tipperary","Financial, insurance and real estate activities (K,L)",36806,37193,36956,37673,37539,36580,36966,39421,39702,42280,44170,45618,46250,49446
"Median Annual Earnings","Co. Tipperary","Arts, entertainment, recreation and other service activities (R,S)",20000,19025,19468,18269,18467,18638,19524,19654,20642,25780,25907,23671,24000,26000
"Median Annual Earnings","Co. Waterford","All NACE economic sectors",32145,31595,31648,31772,31890,31841,32553,33664,34705,38280,39103,39437,40680,42460
"Median Annual Earnings","Co. Waterford","Construction (F)",30936,31402,32823,31090,32285,32087,32007,33232,34616,38735,39067,37888,40000,41600
"Median Annual Earnings","Co. Waterford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",20309,20418,20542,23216,23400,22629,23324,23474,24480,27277,27466,26976,28345,29793
"Median Annual Earnings","Co. Waterford","Transportation and storage (H)",33912,33298,33605,34230,32526,32661,32253,33708,34292,35559,35888,36672,37871,40080
"Median Annual Earnings","Co. Waterford","Accommodation and food service activities (I)",17208,16494,16265,16123,16582,16670,16978,17650,17915,18857,20800,22008,21572,23381
"Median Annual Earnings","Co. Waterford","Information and communication (J)",37880,39500,40322,39490,38499,34996,36319,37430,37050,37308,43552,49018,52982,57488
"Median Annual Earnings","Co. Waterford","Professional, scientific and technical activities (M)",30000,29531,26261,29950,30515,30482,31536,33400,34985,36602,38494,40922,42654,44094
"Median Annual Earnings","Co. Waterford","Administrative and support service activities (N)",20346,19960,20460,20091,20209,21208,21228,22500,25150,25735,26430,27854,29600,31600
"Median Annual Earnings","Co. Waterford","Public administration and defence; compulsory social security (O)",42373,41887,42337,42977,42367,42529,43932,44269,45488,46095,48129,51598,52786,54179
"Median Annual Earnings","Co. Waterford","Education (P)",48577,48865,49193,47590,48403,47060,48476,49272,48979,49830,49615,52981,54903,55086
"Median Annual Earnings","Co. Waterford","Human health and social work activities (Q)",33853,33258,33222,33364,33112,33216,34152,35050,35313,37277,37579,39493,41914,43923
"Median Annual Earnings","Co. Waterford","Industry (B to E)",42221,41745,43056,43635,43296,42569,43684,44078,45983,48819,48362,50700,52200,54721
"Median Annual Earnings","Co. Waterford","Financial, insurance and real estate activities (K,L)",34691,34083,34312,33764,34022,33910,33662,35165,35488,37460,41512,43389,41264,43766
"Median Annual Earnings","Co. Waterford","Arts, entertainment, recreation and other service activities (R,S)",17381,16776,16589,17582,18038,17204,17784,18142,18758,25707,26038,22681,24293,26142
"Median Annual Earnings","Co. Wicklow","All NACE economic sectors",34059,33766,33771,34058,34239,34566,35239,36366,37825,41423,42191,43140,44750,46527
"Median Annual Earnings","Co. Wicklow","Construction (F)",33592,34204,33316,33660,33205,33816,34764,35912,38191,40080,42617,41358,42984,44718
"Median Annual Earnings","Co. Wicklow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",24960,24536,24862,25343,25898,26506,27304,28503,30000,31621,32283,32902,33630,34841
"Median Annual Earnings","Co. Wicklow","Transportation and storage (H)",39696,39080,39114,39732,38976,40570,39831,41539,41940,45108,44068,45469,45522,48185
"Median Annual Earnings","Co. Wicklow","Accommodation and food service activities (I)",18459,18369,18222,18295,18599,18991,19841,20389,20683,26424,24843,23942,24807,26110
"Median Annual Earnings","Co. Wicklow","Information and communication (J)",54158,53569,54892,56883,58724,60808,61363,63958,65086,66644,72072,80829,85588,89154
"Median Annual Earnings","Co. Wicklow","Professional, scientific and technical activities (M)",36000,35971,36400,37498,37972,39704,40009,40268,41240,43100,47841,50098,52800,53625
"Median Annual Earnings","Co. Wicklow","Administrative and support service activities (N)",28718,29819,29873,30027,30132,31758,32427,32020,33644,34166,34548,37309,38644,40196
"Median Annual Earnings","Co. Wicklow","Public administration and defence; compulsory social security (O)",46816,46318,46998,48000,46649,46435,47403,47568,49071,50433,52325,54712,58048,59902
"Median Annual Earnings","Co. Wicklow","Education (P)",46627,46471,46550,44678,44878,44846,44871,45242,45596,46551,47171,49461,51801,52166
"Median Annual Earnings","Co. Wicklow","Human health and social work activities (Q)",32001,31863,31434,31018,31358,31920,32296,33950,35004,36753,36871,39057,41090,44246
"Median Annual Earnings","Co. Wicklow","Industry (B to E)",37953,38200,37512,38330,38029,37567,38118,39798,40641,45155,46344,46352,49339,51544
"Median Annual Earnings","Co. Wicklow","Financial, insurance and real estate activities (K,L)",43962,44315,44570,46104,45322,47130,47239,49214,51689,53741,56704,60696,63404,65374
"Median Annual Earnings","Co. Wicklow","Arts, entertainment, recreation and other service activities (R,S)",21748,20753,20415,21446,21523,21135,22377,22539,22724,27918,29085,27151,28485,30344
"Median Annual Earnings","Co. Westmeath","All NACE economic sectors",32558,32114,32160,32561,32740,32923,33311,34355,35486,39010,39567,40076,41659,43072
"Median Annual Earnings","Co. Westmeath","Construction (F)",33887,32500,33288,34122,35241,35146,34543,35626,37098,41054,41035,40360,43440,44716
"Median Annual Earnings","Co. Westmeath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22674,21649,21628,22343,23288,24317,25736,26455,27383,29674,30709,30679,32262,33488
"Median Annual Earnings","Co. Westmeath","Transportation and storage (H)",35125,34893,34939,34125,33922,35740,34283,35934,36217,36912,37080,38256,38835,40637
"Median Annual Earnings","Co. Westmeath","Accommodation and food service activities (I)",17360,16464,16427,16561,16934,16861,17864,17942,18584,19832,21429,22084,22280,23604
"Median Annual Earnings","Co. Westmeath","Information and communication (J)",44136,45020,48142,50707,53457,53869,50966,50968,52354,57642,59879,63895,69295,72510
"Median Annual Earnings","Co. Westmeath","Professional, scientific and technical activities (M)",29602,29382,30000,29496,32265,31852,33187,33250,35208,37939,40500,40999,44253,45152
"Median Annual Earnings","Co. Westmeath","Administrative and support service activities (N)",21764,21970,21374,23242,24999,25822,26066,27092,28423,29678,31080,32159,33513,35715
"Median Annual Earnings","Co. Westmeath","Public administration and defence; compulsory social security (O)",42254,42081,42401,42497,42048,42340,42065,42580,43983,45527,46627,49922,52618,54582
"Median Annual Earnings","Co. Westmeath","Education (P)",47577,47514,48075,47342,48302,46773,48371,49530,49076,50063,49185,52667,53735,54355
"Median Annual Earnings","Co. Westmeath","Human health and social work activities (Q)",35122,34723,34824,34575,34450,34684,35701,36047,36545,38907,39454,41291,42796,45321
"Median Annual Earnings","Co. Westmeath","Industry (B to E)",32982,33606,33474,34074,34144,34310,34746,36711,37782,40100,40450,41974,43175,44288
"Median Annual Earnings","Co. Westmeath","Financial, insurance and real estate activities (K,L)",34974,34762,35820,36210,35028,33488,35156,36291,39685,41107,42619,45054,47001,49314
"Median Annual Earnings","Co. Westmeath","Arts, entertainment, recreation and other service activities (R,S)",17896,17352,17878,17724,17475,17973,19291,19237,21474,27220,27757,23183,24500,26024
"Median Annual Earnings","Co. Wexford","All NACE economic sectors",28952,28914,29002,29227,29645,29792,30298,31254,32172,35585,36536,36467,37769,39409
"Median Annual Earnings","Co. Wexford","Construction (F)",31248,28792,29155,30264,30262,31194,31798,32972,34840,37751,38506,37326,38865,40487
"Median Annual Earnings","Co. Wexford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",21000,20819,20877,21408,21913,22774,23140,24010,24635,27197,27763,27723,28980,30211
